ticker,composite,technical,fundamental,sentiment,analysis_time
LFDR,23.04687705315439,14.046877053154388,9.0,0.0,2025-02-14T17:55:55.472941
ICF,20.870483910297683,0.8704839102976833,10.0,10.0,2025-02-14T17:47:17.409120
ARKG,20.46603002918679,0.4660300291867898,10.0,10.0,2025-02-14T17:21:46.733423
BUYW,18.650011457187333,0.6500114571873308,8.0,10.0,2025-02-14T17:27:25.472278
DDLS,18.43047140619818,2.4304714061981785,8.0,8.0,2025-02-14T17:29:42.536652
BAMG,17.420328880884878,0.42032888088487824,7.0,10.0,2025-02-14T17:23:28.854284
AFIF,17.133585240993895,1.1335852409938938,6.0,10.0,2025-02-14T17:19:44.715423
XBOC,16.362409829445014,0.3624098294450157,6.0,10.0,2025-02-14T18:24:31.436837
SNAV,16.069544902514053,0.06954490251405118,6.0,10.0,2025-02-14T18:16:24.169079
ZJUL,15.436179081182987,0.436179081182987,7.0,8.0,2025-02-14T18:27:54.553351
QCOC,15.034399741974596,1.0343997419745952,6.0,8.0,2025-02-14T18:10:25.108985
BUYZ,14.80945926445845,2.8094592644584506,10.0,2.0,2025-02-14T17:27:39.093373
FLIA,14.78491644650784,1.7849164465078402,6.0,7.0,2025-02-14T17:39:03.474435
PIT,14.620348749528096,1.6203487495280966,7.0,6.0,2025-02-14T18:07:34.635596
XDSQ,14.521431956087152,0.5214319560871523,8.0,6.0,2025-02-14T18:24:59.059582
PBMY,14.462717677222667,1.4627176772226675,7.0,6.0,2025-02-14T18:06:36.380209
OVB,13.989772265046806,0.9897722650468062,7.0,6.0,2025-02-14T18:05:14.537349
QUVU,13.754006542080356,0.7540065420803566,8.0,5.0,2025-02-14T18:11:54.975439
PTLC,13.691621564398533,0.1916215643985332,6.0,7.5,2025-02-14T18:09:41.575612
NFLU,12.966189195344338,2.966189195344337,10.0,0.0,2025-02-14T18:01:47.046924
DWAT,12.87814486812746,0.5781448681274604,2.3,10.0,2025-02-14T17:32:19.283611
TLTI,12.803993737716638,0.3039937377166382,6.0,6.5,2025-02-14T18:18:21.570766
FPFD,12.771813801147612,0.7718138011476121,10.0,2.0,2025-02-14T17:40:09.672299
VFMV,12.499409203056095,2.499409203056095,10.0,0.0,2025-02-14T18:22:06.695407
BUFG,12.430658995488233,0.4306589954882334,10.0,2.0,2025-02-14T17:27:09.484730
XJH,12.333201113014734,-1.1667988869852663,7.0,6.5,2025-02-14T18:25:51.381114
SEPZ,12.12688334040788,0.1268833404078812,7.0,5.0,2025-02-14T18:15:05.979475
XDAT,11.80087860293895,1.8008786029389499,10.0,0.0,2025-02-14T18:24:22.565369
MSFY,11.742197951658671,-2.257802048341329,8.0,6.0,2025-02-14T18:00:22.706439
VSGX,11.665799319090999,1.6657993190909992,8.0,2.0,2025-02-14T18:23:00.108972
BKGI,11.659757813606806,1.6597578136068059,10.0,0.0,2025-02-14T17:25:47.346918
BOXX,11.645731893103708,4.645731893103708,7.0,0.0,2025-02-14T17:25:58.539512
OVF,11.580777057851785,1.5807770578517855,10.0,0.0,2025-02-14T18:05:07.715889
ESGG,11.446237823731405,2.4462378237314053,9.0,0.0,2025-02-14T17:34:16.243250
OVS,11.409253147318157,-0.5907468526818427,10.0,2.0,2025-02-14T18:05:27.657780
XMAR,11.340467086528996,1.3404670865289965,10.0,0.0,2025-02-14T18:25:58.153889
FPRO,11.194043035667825,1.1940430356678258,10.0,0.0,2025-02-14T17:40:13.503657
PFEB,11.18454827816588,1.1845482781658787,10.0,0.0,2025-02-14T18:07:26.999786
BFEB,11.089584931885634,1.0895849318856337,10.0,0.0,2025-02-14T17:24:56.092925
FPAG,11.073691991017474,1.073691991017474,10.0,0.0,2025-02-14T17:39:54.037924
